Player ID,Player Name,Teams,Last Season
8474090,Brendan Smith,"New Jersey Devils, Carolina Hurricanes, New York Rangers, Detroit Red Wings",2023
8475193,Tomas Tatar,"New Jersey Devils, Montréal Canadiens, Detroit Red Wings, Vegas Golden Knights",2023
8475287,Erik Haula,"New Jersey Devils, Boston Bruins, Nashville Predators, Carolina Hurricanes, Florida Panthers, Vegas Golden Knights, Minnesota Wild",2023
8476292,Ondrej Palat,"New Jersey Devils, Tampa Bay Lightning",2023
8476462,Dougie Hamilton,"New Jersey Devils, Carolina Hurricanes, Calgary Flames, Boston Bruins",2023
8476923,Damon Severson,New Jersey Devils,2023
8477341,Andreas Johnsson,"New Jersey Devils, San Jose Sharks, Toronto Maple Leafs",2023
8477425,Miles Wood,New Jersey Devils,2023
8477435,Ryan Graves,"New Jersey Devils, Colorado Avalanche",2023
8477508,Curtis Lazar,"New Jersey Devils, Vancouver Canucks, Boston Bruins, Buffalo Sabres, Calgary Flames, Ottawa Senators",2023
8478399,Jonas Siegenthaler,"New Jersey Devils, Washington Capitals",2023
8478414,Timo Meier,"New Jersey Devils, San Jose Sharks",2023
8478507,John Marino,"New Jersey Devils, Pittsburgh Penguins",2023
8479407,Jesper Bratt,New Jersey Devils,2023
8479414,Nathan Bastian,"New Jersey Devils, Seattle Kraken",2023
8479415,Michael McLeod,New Jersey Devils,2023
8480002,Nico Hischier,New Jersey Devils,2023
8480003,Jesper Boqvist,New Jersey Devils,2023
8480188,Fabian Zetterlund,"New Jersey Devils, San Jose Sharks",2023
8480860,Kevin Bahl,New Jersey Devils,2023
8481068,Yegor Sharangovich,New Jersey Devils,2023
8481518,Nolan Foote,New Jersey Devils,2023
8481537,Nikita Okhotiuk,New Jersey Devils,2023
8481559,Jack Hughes,New Jersey Devils,2023
8481740,Tyce Thompson,New Jersey Devils,2023
8482110,Dawson Mercer,New Jersey Devils,2023
8482125,Alexander Holtz,New Jersey Devils,2023
8482684,Luke Hughes,New Jersey Devils,2023
8477970,Vitek Vanecek,"New Jersey Devils, Washington Capitals",2023
8478406,Mackenzie Blackwood,New Jersey Devils,2023
8481033,Akira Schmid,New Jersey Devils,2023
8470610,Zach Parise,"New York Islanders, Minnesota Wild, New Jersey Devils",2023
8473504,Cal Clutterbuck,"New York Islanders, Minnesota Wild",2023
8474573,Josh Bailey,New York Islanders,2023
8474709,Matt Martin,"New York Islanders, Toronto Maple Leafs",2023
8475151,Kyle Palmieri,"New York Islanders, New Jersey Devils, Anaheim Ducks",2023
8475231,Casey Cizikas,New York Islanders,2023
8475314,Anders Lee,New York Islanders,2023
