firstName,lastName,position,team,number,age,playerId
Brendan,Smith,D,NJD,2,34,8474090
Erik,Haula,LW,NJD,56,32,8475287
Tyler,Toffoli,RW,NJD,73,31,8475726
Ondrej,Palat,LW,NJD,18,32,8476292
Dougie,Hamilton,D,NJD,7,30,8476462
Colin,Miller,D,NJD,24,30,8476525
Chris,Tierney,C,NJD,11,29,8476919
Curtis,Lazar,C,NJD,42,28,8477508
Tomas,Nosek,LW,NJD,92,31,8477931
Vitek,Vanecek,G,NJD,41,27,8477970
Jonas,Siegenthaler,D,NJD,71,26,8478399
Timo,Meier,RW,NJD,28,27,8478414
John,Marino,D,NJD,6,26,8478507
Jesper,Bratt,LW,NJD,63,25,8479407
Nathan,Bastian,RW,NJD,14,25,8479414
Michael,McLeod,C,NJD,20,25,8479415
Nico,Hischier,C,NJD,13,24,8480002
Kevin,Bahl,D,NJD,88,23,8480860
Akira,Schmid,G,NJD,40,23,8481033
Jack,Hughes,C,NJD,86,22,8481559
Dawson,Mercer,C,NJD,91,21,8482110
Alexander,Holtz,RW,NJD,10,21,8482125
Luke,Hughes,D,NJD,43,20,8482684
Cal,Clutterbuck,RW,NYI,15,35,8473504
Semyon,Varlamov,G,NYI,40,35,8473575
Matt,Martin,LW,NYI,17,34,8474709
Kyle,Palmieri,C,NYI,21,32,8475151
Casey,Cizikas,C,NYI,53,32,8475231
Anders,Lee,LW,NYI,27,33,8475314
Brock,Nelson,C,NYI,29,32,8475754
Jean-Gabriel,Pageau,C,NYI,44,30,8476419
Scott,Mayfield,D,NYI,24,31,8476429
Adam,Pelech,D,NYI,3,29,8476917
Hudson,Fasching,RW,NYI,20,28,8477392
Bo,Horvat,C,NYI,14,28,8477500
Ryan,Pulock,D,NYI,6,29,8477506
Ilya,Sorokin,G,NYI,30,28,8478009
Pierre,Engvall,LW,NYI,18,27,8478115
Mathew,Barzal,C,NYI,13,26,8478445
Julien,Gauthier,RW,NYI,16,26,8479328
Sebastian,Aho,D,NYI,25,27,8480222
Oliver,Wahlstrom,RW,NYI,26,23,8480789
Noah,Dobson,D,NYI,8,23,8480865
Alexander,Romanov,D,NYI,28,23,8481014
Samuel,Bolduc,D,NYI,4,22,8481541
Simon,Holmstrom,RW,NYI,10,22,8481601
Blake,Wheeler,RW,NYR,17,37,8471218
Jonathan,Quick,G,NYR,32,37,8471734
Nick,Bonino,C,NYR,12,35,8474009
Chris,Kreider,LW,NYR,20,32,8475184
Tyler,Pitlick,C,NYR,71,31,8475752
Vincent,Trocheck,C,NYR,16,30,8476389
Mika,Zibanejad,C,NYR,93,30,8476459
Barclay,Goodrow,C,NYR,21,30,8476624
Jacob,Trouba,D,NYR,8,29,8476885
Jimmy,Vesey,LW,NYR,26,30,8476918
Erik,Gustafsson,D,NYR,56,31,8476979
Igor,Shesterkin,G,NYR,31,27,8478048
Artemi,Panarin,LW,NYR,10,31,8478550
Adam,Fox,D,NYR,23,25,8479323
Ryan,Lindgren,D,NYR,55,25,8479324
Filip,Chytil,C,NYR,72,24,8480078
K'Andre,Miller,D,NYR,79,23,8480817
Kaapo,Kakko,RW,NYR,24,22,8481554
Zac,Jones,D,NYR,6,22,8481708
Braden,Schneider,D,NYR,4,22,8482073
Alexis,Lafrenière,LW,NYR,13,22,8482109
Will,Cuylle,LW,NYR,50,21,8482157
Ryan,Ellis,D,PHI,94,32,8475176
Rasmus,Ristolainen,D,PHI,55,28,8477499
Marc,Staal,D,PHI,18,36,8471686
Cam,Atkinson,RW,PHI,89,34,8474715
Nicolas,Deslauriers,LW,PHI,44,32,8475235
