goal,xCoord,yCoord,shotType,playerId,goalieId
0,-87,-14,backhand,8476391,8482477
0,-79,1,tip-in,8482155,8482477
0,-83,9,wrist,8482160,8482477
0,55,-21,wrist,8483009,8480857
0,-83,-16,backhand,8482155,8482477
0,-52,21,wrist,8476948,8482477
0,58,-31,wrist,8478029,8480857
0,-72,-36,wrist,8475246,8482477
0,-34,-35,wrist,8480984,8482477
0,65,-22,wrist,8481754,8480857
0,-38,26,wrist,8478176,8482477
0,58,1,snap,8484236,8480857
0,54,-23,slap,8483521,8480857
0,55,-1,,8483630,8480857
0,42,-24,wrist,8477462,8480857
0,27,5,wrist,8483521,8480857
1,81,2,tip-in,8475842,8480857
0,58,24,wrist,8478176,8482477
0,51,0,wrist,8478029,8480857
0,55,21,wrist,8484236,8480857
0,54,18,slap,8484236,8480857
0,55,1,wrist,8478446,8480857
0,27,1,slap,8481605,8480857
0,-25,-3,wrist,8480984,8482477
0,42,30,wrist,8476948,8482477
0,82,19,slap,8476391,8482477
0,-79,34,backhand,8476934,8480857
0,-30,-35,wrist,8482059,8480857
0,-82,19,backhand,8476934,8480857
0,-46,-40,wrist,8477462,8480857
0,-72,9,deflected,8483444,8480857
0,77,-24,wrist,8482155,8482477
0,-75,30,snap,8481754,8480857
0,-36,15,slap,8483444,8480857
0,37,33,snap,8475246,8482477
0,39,32,wrist,8475246,8482477
0,-58,10,wrist,8478029,8480857
0,73,-16,wrist,8480805,8482477
0,83,-12,backhand,8480805,8482477
0,81,-8,tip-in,8480805,8482477
0,55,24,slap,8479573,8482477
0,80,-2,backhand,8476948,8483898
0,37,-23,wrist,8482726,8483898
0,-72,-14,backhand,8478029,8480857
0,35,-26,slap,8475246,8483898
0,-40,-40,wrist,8482059,8480857
0,-44,24,wrist,8484396,8480857
0,-37,-8,snap,8483630,8480857
0,-69,1,tip-in,8483630,8480857
0,-40,1,wrist,8483630,8480857
1,57,-23,snap,8482748,8483898
0,-44,11,wrist,8478446,8480857
0,-68,1,tip-in,8484153,8480857
0,-68,-18,snap,8482155,8483898
0,-62,-24,snap,8480805,8483898
0,57,3,snap,8484201,8480857
0,-32,28,wrist,8476391,8483898
0,41,2,snap,8481563,8480857
0,88,-8,backhand,8483630,8480857
0,52,9,wrist,8475842,8480857
1,-67,7,wrist,8482155,8483898
0,61,3,wrist,8478446,8480857
0,-32,-11,wrist,8475246,8483898
0,57,22,snap,8484396,8480857
0,-82,5,between-legs,8479573,8483898
1,69,13,snap,8481605,8480857
0,33,-23,,8477462,8480857
0,-93,29,snap,8476391,8483898
